"Review","Date","Location"
Applications are not userfriendly. Need to hire expert for the consultation.,"June 12, 2024",DE
"I usually get E-Mails from BlueHost to remind me to renew my domains and make sure to renew before the date stated in the E-Mail. Apparently they don't do this for their hosting. I found this out the hard way after all 3 of my sites went offline. I contacted support and was told it was passed the 30 days and the files are permanently deleted. Hundreds of hours worth of work on these sites GONE with ZERO communication from BlueHost. Unless your businesses to be set back for months, absolutely DO NOT trust your data with these people. They do not care at all","August 06, 2024",CA
Was not able to get a full refund but something was better than nothing,"July 25, 2024",CA
"Horrible company. very inflexible. Don't sign up for auto renew! It went from $71.96 to $558 and if it renews, they refuse to cancel and refund even when the website is already hosted by another company. This happened to a small non profit. So sad greedy large companies take advantage.","August 06, 2024",US
"STAY AWAY!!! People working at the helpdesk have absolutely no experience - constantly give you the wrong information and tell you to wait 24 hours , just to get rid of you... they have destroyed my mail , and now i need to wait 40 more days to beable to move to another provide ( we have been down for 20 already.. ) Oh and it can be fixed, but then ill have to pay 79 euros... which i flat refuse , They broke it!

** Oh and the reply on this review from Bluehost... Damage controle, no one ever contacted me.. compleet automated response...","August 06, 2024",NL
"I spent months working on our new corporate website only to have it get completely wiped three days prior to launch. In a panic, I spent hours/days talking to support and getting escalated to the moon without anyone knowing how or why it happened. I'm not new to websites or hosting, so I was baffled by this and the complete lack of knowledge and support by their ""support team"", especially when Bluehost is supposedly one of the top 2 hosts. They told me I had to start over and I did. With another host. Never again.","July 17, 2024",US
"My whole website was taken down with no way to retrieve it. Why?
They sent a renewal notice for my hosting, but under the name of a no-longer-registered subdomain that hasn't been used in many years. So naturally I said I didn't want to renew it. But the renewal wasn't for the subdomain, it was for the primary domain.
Why didn't they use my customer ID or primary domain in the renewal notice? Who knows! But I lost everything with no way to retrieve it.
That's about as bad as it gets.
UPDATE Aug 17:
Bluehost read my review and contacted me directly.
After originally being told by their online support that my site was lost and nothing could be done, the escalation team helped me set up a new hosting account, and retrieved my files so that I could restore them.
I'm happy that they could do this, and lucky my hosting account is no longer mission-critical as it used to be, otherwise my business would have suffered significantly.
Unfortunately there was no reasonable explanation as to why this whole situation occurred and no undertaking to update their renewal processes, so sadly no guarantee it won't happen to anyone else.
Thanks to Al for his assistance in resolving the issue.","August 05, 2024",AU
"DO NOT go with bluehost. Border criminals! My domain is not inactive because I didn't get whois verification email.

Bluehost told me they'll solve this. Still waiting for more than 8 hours and site is till down. Go with Bigscoots, siteground and you won't have problems like this.


***It was solved*","August 03, 2024",SI
"Singularly the most dishonest interaction with a business I have EVER had. Was sold a product to then be told I would need to extend an existing product to actually use the new product and get my website up and running again. Once I caved and it was explicit to extend this existing product for only 1 month (which I was told was the only option to get my website up again) it was set to autorenew, probably hoping I wouldn't notice and they could keep billing me. Kept getting told different pricing, all of which was more expensive than what's advertised on their website. They have lots of tricks to dupe their customers. Asked for the issue to be escalated and wasn't. After more than 10 years with Bluehost (and paying their fees) they clearly only have loyalty to the fees they can dishonestly collect.","August 03, 2024",AU
"8/15/2024: So in addition to being fraudsters and thieves, in turns out they are also liars.
I filed a dispute with my credit card company on 8/6/24. On 8/7 I got a call from Cassie A from Bluehost's parent company, Newfold Digital wanting to resolve the dispute. Great!, I thought. After a 15 minute discussion, she agreed to givfe us a total refund. Great again!
A week later I noticed the refund had not yet posted and my credit card dispute was still in a pending status so I called to find out why. It turns out, they actually rebutted our claim to the credit card company.
Absolutely told me one thing over the phone and told the credit card company the very opposite thing.

8/2/2024. 12:43P CST Beware This Company.
Bluehost just took $2160 of my money for services they never provided and are refusing to refund it.
I just got off the phone with Jeph B who, (according to him) is the very highest person on the ladder at the BH Professional Services Design Team, and so whatever complaint I have stops with him. There is, according to him, nobody at BH I can escalate my case to.
As briefly as I can: I signed up with BH to design and build a small e-commerce website for me and unfortunately, paid up front. During the sign-up process, I was told, (apparently by William) that I would be contacted by phone to start the ""intake"" process so that they could do an initial design. I told this [William] that I had digital content (incl. product photos, product descriptions, etc) and that I would be more comfortable submitting my content electronically or on a web form and I was assured I would be able to do that.
I was eventually contacted by Mark who wanted to do the intake by phone; but after a time, realizing it was going to be too time consuming and difficult to convey over the phone, I told him I would much rather submit my information electronically and asked for a form or link. Mark said I could do that and sent me a link to the form.
The link took me to a website Change Request form. I assumed that was the form he wanted me to use. So I filled it out and added our logo and three products to start the design with. Mark contacted me later and said they never got the info. When I told what form I filled out, he said that (the form he directed me to) was the wrong form and urged me to continue telephonically. Well, I don't actually have a couple of free hours to talk on the phone to explain my website, but I tried. 45 minutes in, he asked about our logo which offered to send him; he apparently contacted a supervisor and came back to tell me he did not know how I could submit my content.
Mind you, this is a professional IT web design team and they apparently have no idea how to exchange data electronically. Why would they insist on exchanging graphic design information over the phone rather than electronically?
I finally lost confidence in their abilities to do the job I hired them for and called in to cancel my order and asked for a refund. I spoke to Clark, (I believe) for over 40 minutes explaining that I wanted to cancel and why. I did not record the conversation and I can't quote him verbatim, but I left the conversation with the distinct impression that my refund would be processed within several business days.
Days later, I received a voicemail and an email from Jeph saying he was responding to a request for a ""supervisor call-back."" I was confused by that but was able to take his call shortly after.
I explained the request for refund issue to Jeph and he was very sympathetic and he informed me that the refund policy had to be exercised within 3 days of purchase and my request came in on the fourth day. BUT, he said he was going to argue my case for a refund since we never got anything done.
Later, Jeph called back and said the person I really needed to talk to was William and that he would contact me within 72 hours.
William never called. So I called the team back and was able to speak to Jeph. He explained to me that the final decision on my refund was to deny it because I didn't make the request withing 3 days. I told him that was unacceptable and that I wanted to escalate this issue and asked for a contact.
This time Jeph informed me that there was no one higher than him. I recapped for him his promises to advocate on my behalf, to make my case and to fight for me and asked him, if he was top of the food chain, who was he making my case to?
Well it appears that he and the illusive William are the co-chiefs of the design team. When I asked explicitly who, he told me nobody at BH can override their co-decision. Well in my 64 years, I've never seen an business unit, even a subcontractor) under a large umbrella like BH that does not have a higher authority, so this story is not yet over. I will update at a later time.","August 01, 2024",US
"The worst company I have ever dealt with. I have been working with bluehost for over 4 years now.

They continuously kick me out of their support chats and wont answer questions.

I get constant website outtages and server errors and instead of living up to it (because they want everyone to think they never have server outtages) they lie and make up other issues. Then they say ""oh I fixed it"". When I ask them what they fixed so I can know if its a bigger problem or something that may continue they end the chat.

Either they end the chat or tell me I need to upgrade. Their support staff is not their for support they are there to sell their horrible services.","August 02, 2024",US
"FRAUD ALERT! Their money back guarantee is a complete sham and they’re NOT honest about their prices.

Right now BH is charging $35 for hosting with a “free” domain. But if you try to cancel your account, they will tell you that you’re not entitled to a full refund because their domains are non-refundable. It literally says FREE on the order but they actually charge $12.99, which is insane when you can get $1 domains from other companies!

And here’s the kicker: if you sign up for BH and import your own domain, they charge the SAME price for hosting. So essentially they’re charging for domains but advertising them as free AND they’re showing inaccurate prices on the receipt. That’s false advertisement!","August 02, 2024",US
"They just cannot get domain mapping fixed. Have been struggling with their support for few months now. I would never recommend this service to anyone.

The support also does not understand the request and will at least spend 30 mins to go back and forth.","July 31, 2024",CA
"I think their service has a lot of usability errors and it's a shame that end customers consider yours, when there are more scalable and easy-to-use hosting services. In addition, you don't even have a support ticket generation format, the support chat is quite annoying.","July 24, 2024",MX
We signed on for the stand alone server as we need a firewall on we are failing some cyber insurance things. We paid the extra support. We turned the firewall on and lost control of the console. Support tells us the firewall isn't under their support. All they could do is reset to default. So we had them do that. 2nd time same thing happend. Had to reset again. Months into this and still not live with bluehost and questioning if we even should. Site it down we need real support not this or that isn't included. Questioning everything with bleuhost.,"July 09, 2024",US
"Please know that I spent hours trying to reset my password so I could get into my account to no avail.
Therefore - I cannot renew Domain names that need renewing.
I am VERY angry about this!
Please know for the record, that I tried but couldn't renew WATERPROOFDUCK.COM
Roni","July 31, 2024",US
"Bought google workspace from them and I already had it with another reseller and they took over the existing account and then won't downgrade or refund it. No warnings that I had already connected it with another reseller on the domain, just took it over and then cannot refund me!! Avoid these scammers, missold, waste of time on chat.","July 31, 2024",GB
"1) probably for someone else works well but blue host doesn't fit on my needs. I was trying to build a simple website for my small home improvement business and was hard to reach communication with your team.
2) when 3 days later I received a call from the IT provider they asked $2.000.00 for assistance.
My suggestion, try to create a way to fit the criteria for affordable webs for small business,
Anyway thanks.","July 23, 2024",US
Bad hosting experience. When trying to acquire a plan the sales team keept me busy for over half an hour just to go ahead with the stock offer that I initially requested. The platform has poor system when integrating features from other providers. I am spending days upon days on customer support to solve problems that shouldn't even exist in the first place but are created withing their system of doing things. Do not get a plan from blue host,"July 30, 2024",GB
"It’s very hard to enjoy your service for full one month without interruptions or cut off unnecessary from the host and the website becomes dis functional and still . Too bad .

I am not happy and nit enjoying the website uninterrupted.","July 30, 2024",GB
"Deleting the account is a nightmare. Disrespectful, and inefficient. Reps will not respect instructions and or respect your time. There is no easy deletion process which is fundamentally the best way to insure a client will not come back.","July 30, 2024",US
"Never seen a worst hosting company with terrible support than this. Their hosting just doesn't work and they keep telling you that you need to work on the optimization. Even installing one single plugin takes ages. Namecheap, which is a new name than Bluehost in the market is offering much better site speed than they are. I would highly not recommend going for this, even if paid media sites and influencers keep telling you to do it. Better go with alternative solutions.","July 30, 2024",AE
"I purchased website hosting and SSL certificate all through Bluehost as it states it is super easy to use etc. if you need help from their technical team they literally just copy help links which I had already looked at so needed an actual persons help. Will be looking to go to another host, previously used hosting we and their tech support actually support you","July 29, 2024",GB
"I'm super disappointed with Bluehost. I've been using it for 4 years and decided to cancel my plan. I also forgot to remove one of my websites from the cPanel.

Now, poor Bluehost is asking me to renew the plan for one month so that I can access the Cpanel and access the files and database.

They don't have the courtesy to help their previous users with a tiny good deed.


I decided to move off Bluehost after using it for 4 years because they don't have good security systems, and their customer support is the worst.","July 29, 2024",PK
"I am extremely disappointed with Bluehost. If I could give them zero stars I would. I’ve been with them for 11 years and initially chose them because of their great reputation and promises of excellent service. Recently, my experience has been nothing short of a nightmare.
They were not truthful about their service capabilities and gave me false information. Their customer service is appalling. I initially wanted to downgrade the service because I don’t host many websites and the renewal cost was very high. The tech said that was no problem and that they would migrate the sites for $149. I told her to go ahead and put me on the other hosting plan. To my dismay, her information was incorrect in that it was $149 per site! I didn’t want to pay that and to please point the sites back to the original hosting and I would migrate the sites myself. Being inexperienced, I had not backed up the sites recently before I had Bluehost change the hosting plan. I know it was ignorant on my part, but I thought Bluehost had the sites backed up like they used to. Now you have to pay for that service.
On several occasions, the issues were escalated and they completely ignored my issues or gave me vague, inaccurate, and irrelevant answers. It felt like they didn’t care about resolving my problems.
Additionally, their technical support team seemed inexperienced. Instead of fixing the issues, they often made things worse by messing with the files and databases, causing more downtime and disruptions! My websites have been left in a mess, and I’m still trying to get things back to normal.
Overall, Bluehost has proven to be unreliable and unprofessional. Their false advertising and poor service have cost me time, money, and a lot of stress. I would not recommend them to anyone looking for a dependable hosting provider.","June 30, 2024",US
Can't fix a simple problem after over 6 months?!!! Worst customer service ever. Stay far away.,"February 28, 2024",FR
"Worst support ever, I recommend double check for every time Bluehost team is ""fixing"" some issue for you.","July 28, 2024",IL
"In short, they told me. If you want your data back. You will need to pay $150!!","July 26, 2024",EG
Service auto-new email went to junk so missed opportunity to cancel service. Messaged customer service to request cancellation but informed that as service is live (9 days in…) they can’t refund anything at. Essentially been robbed for close to £400 - AVOID AT ALL COSTS!!!,"July 26, 2024",GB
They charged my bank account and I dont even know who or what they are!,"July 25, 2024",US
"I migrated to bluehost and later determined that a function that previously worked no longer works. I have tried in vain to have it resolved... but the issue remains, even after being told it was fixed...","February 15, 2024",US
"Worst service ever!!! stay away from bluehost. i been a client for over 20 years. First time a have a problem i got some people in India that never care a fu..ing thing about my needs. almost 7 months with mi sites down - They said: call in 1h, wait 0 to 24h and so on over and over.. go somewhere else.. Highly recommended no to hire them.","January 25, 2024",UY
"Signed up for domain hosting and professional email. It took over 48 hours for the domain to transfer. Once there I was unclear how to get my website up and running again. The professional email never worked quite right. Multiple calls resulted in me being able to finally access my email but only through the web browser. I was never able to get the email to work with my mail client nor have it pushed to devices like my phone or ipad. Needless to say, as a small business owner, the month I lost cost me dearly. My only solution was to eat the fees I paid and move my domain and email to another service.","July 01, 2024",US
"Where to begin... I have been with bluehost for 3 years and it has cost me $1000s for my business and $10,000's worth my time.

There support is some of the worst ever. Their chat doesnt work correctly and it doesnt notify you that they have responded so you dont respond... but then the chat closes because you didnt respond in like a minute.

If you get passed that their answer is always to contact the plugin company. So you do that and the plugin company tells you to contact bluehost. Then, bluehost makes a change and the issue is temporarily resolved but never permanently... and they dont tell you what they changed.

They are always pushing you to upgrade as well... Almost like the entire goal of their support team is to make sales. Im also suspicious that they do less so that you have more problems and finally give in to upgrading and thinking that its the only thing to solve your problems.

If you are a business owner online and do not want to deal with Website issues EVERY SINGLE WEEK of your business then DO NOT get bluehost.

My most recent experience with their support had them send me a url that described a known issue. There were 3 possible fixes to the issue. I had already tried one, the other one was diving through all my code and the 3rd was to see if my hosting provider has any limits set that could be causing the issue. When I asked them to help with that solution they said it was ""out of their scope""

My website problem momentarily crashes once a month due to the server issues. They have almost yearly scheduled maintenance and they say there will be no impact but there always is.

One time their support even directed me to delete a staging site and it actually deleted my production site in the process. Took a week to resolved and restore backups.

If there was a 0 star, I would give them 0.","July 25, 2024",US
"I have spent more than 20 hours on chat with Bluehost over the past two months and our issues are still not resolved. The matter has been escalated multiple times, but no action has been taken. The failure to find a solution is costing our company financially and is damaging our reputation.

All our company emails bounce back if there is text in the email body. Our clients are not receiving our communication.

Bluehost has sent us around in circles, blaming our website, blaming our internal systems, blaming Microsoft, blaming our ISP, blaming countless IP addresses. The problem is not any of these. Something is broken in the Bluehost system and they seem incapable of figuring it out.

We have been Bluehost customers for many years and usually get results. It seems the smart people have been replaced by script reading robots that can't think for themselves. What a disappointment!

Whatever is wrong in the Bluehost system, it is now affecting our other domains. How do we fix this? We are at a loss.","July 01, 2024",BD
"After spending one hour on chat for an incorrect renewal last week, I was horrified to find they had charged me again. Appalling customer service and hugely time consuimg to get it resolved.","July 18, 2024",GB
"Worst Hosting Company Ever! Had me pay for two different plans at the same time thanks to their deceptive advertising practices. And then when one of these plans that ran out, which happened to be the one my website was on, they refused to give me access to my website data. Even though they had $155.40 on my account because their lazy crooked people on chat told me I needed this to run woo commerce which is FREE! i ended up disputing through Paypal and won! Stil lost my website thanks to this company. Moved over to another host and have no problems at all.","July 24, 2024",US
"I wish I could give 0 stars to Bluehost and that I could add screenshots as a prove of how bad their customer service is. An agent called ""Pratheek"" (there were many other but this was the last one) kept on going on circles asking the same question and solving nothing in the end.
I was asked by sitelock to request bluehost to ""whitelist"" certain IP addresses and I immediately did it and the agent who helped at that time said (as usual) ""It has been done"", and guess what? 4 days later turns out they hadn't done it? Surprisingly? Of course not, this is the beautiful customer service Bluehost offers.

Then I came back to bluehost again! asking for help. The first agent, useless he couldn't do a thing, kept me waiting for more than 20 minutes to later just close the chat on their own.

Then Pratheek, a new agent, I asked him to just ""whitelist"" the IPs and gues what? again I waited for ages as he told me ""I am on it"" ... 10 minutes lates he sent me a link? what? what for? he said for me to do it from my end ... really? you took 10 minutes just to send me a link? If I could do it on my own why would I contact you in the first place. Second, it you ""experts"" couldn't do that task properly the first, second, third time, how possibly a simple user could do it?

Finally, the agent, after nearly 30 minutes of interaction, went ahead and did what I asked to please do from second 1 ...whitelist the ""IP addresses"".

God knows if they did it properly this time. When it comes to bluehost, one can expect nothing less than bad customer service, long waiting times, and inefficient and unskilled agents.

I needed to ask for ""proof"" that it had been done coz honestly I trust 0 Bluehost agents. And of course, any proof could be given.

Hopeless, that is how I feel in every interaction.","July 24, 2024",PE
"I bought an email and then they charged my card without authorization from a hosting that I never asked for. is a gotcha, bad experience.","July 23, 2024",SV
Bluehost took money from my bank account when my debit card was expired. Basically theft. Then I had to spend four chat sessions with them to get a refund. Then they deleted my website data without giving me a back up. The worst customer experience I have ever had. No attempt to solve my issue or say sorry or compensate. They could have turned three customer crisis experiences into a satisfied customer but they failed at every opportunity. Customer service disaster. They have no clue about dealing with unhappy customers. Amateurs.,"July 01, 2024",GB
extremely poor service. I bought a vpn which they made me upgrade and not change just a few days before finding out that the operating system would be obsolete. They changed my operating system but nothing worked again. Each reinstallation in services has cost me 300usd. They no longer provide support and now I'm trying to get my server shut down and my money back.,"May 15, 2024",CL
"I talked with the support service like 5 times for a refund. In all those interactions they said that they will refund me, but I’m still waiting. Be advised, if you have any problem, they will not help you and they will keep your money.","July 01, 2024",CL
also issues with them.,"July 19, 2024",CA
I have not continued with Bluehost since I sought customer service support and never received it.,"June 03, 2024",US
"5 agents have no answers to basic questions.
Everyone assumes that I am using Wordpress, which is not true. As a designer, I design my own websites with HTML.
I just needed the server information for my php mail form, but 4 agents could not give it to me saying 'we don't know HTML' Well, the mail server SMTP address are not language dependent.
Finally, the 5th agent was able to give me the hosting server address. I was disappointed to have to work so hard to get minimal information that I. using the hosting service for 5+ years, should get quickly.","July 08, 2024",US
"My website was down for over 2 weeks, though occasionally it would be UP...but only momentarily...and still not usually able to receive orders.

Every time I contacted Bluehost support I was told that their work would fix my site...and it never happened. Every other support person gave me strong confidence for their action...but that action was the opposite of the previous person's action.

I even conversed regularly with their ""Elevated support"" without results.

I finally got my website up by having my site hosted elsewhere. My IT guy told me that there was a serious problem with the SERVER that Bluehost used...but Bluehost never investigated that issue.","July 18, 2024",US
"Normally all problems can be solved via a chat visit. Lately I have had intermittent down time (sometimes as long as 4 hours) more so in last year than in the previous accumulated 5 years. The last three times the excuse was malware, but scans have proven no malware, and cases were advanced to higher level. Each time the site eventually returns but it is unclear why. No one has given me an answer or suggested how to avoid this.","July 18, 2024",US
"I have had a problem receiving emails, i have been on live chat, emailed, everything for the past 3 weeks and they still haven't fixed the issue. I am at my wits end. My emails are down, tell them this, they are asking for my pin, can't log in because emails that are down is the log in email, they changed this after 2.5 weeks. then a verification code to log in goes to my old email that is broke. now will have to wait another 2.5 weeks to fix this. Then once i get access to my account wonder how long it will take them to fix the business email address, they are a total nightmare. Avoid at all costs.","June 01, 2024",GB
I have already provided a review explaining my problems with their sales methods. Now they lack the understanding that putting me in the queue for Welcome Call Scheduling is the last thing I need. Maybe they should instead work on solving my problem wihout the need to buy more products.,"July 23, 2024",US
"tried to ask support to fix an issue, had them immediately try to charge me 150$ for ""restore"" even though i asked them to revert the files they originally moved in my file manager. not sure how this is a tech support but i'm dumbfounded on the lack of support they actually give. it's pure charge basis.


EDIT: No request has been sent to me for anything from customer service. Please note this is just me trying to help people make a more sound decision on using this deceptive company.","July 21, 2024",CA
"I purchased 5 domain names together from this site but during checkout, there was no field to input my company name...so I type my company name in the ""First Name"" field and left the ""Last Name""field blank. However it will not allow me to proceed so I put my personal name in that field. After the transaction is completed, the issued invoice had both my company and my name in the header...needless to say, my account dept wouldn't reimburse me because the invoice was useless!! I called the 24/7 support and waited for 32mins before I gave up cause I was calling from outside the US and International call gonna be very expensive. I then try to speak to someone on chat and after begging to one agent after another and explaining that the issue lies in how their system were designed and not the customer issue, they simply said that once the invoice is generated by the system, it cannot be changed!! They will refuse to cancel my order! I have never come across anything so ridiculous!!! Should have gone with Godaddy or some other platform but definitely never gonna use this platform again!

Update - July 23
Saw the ""customer advocate"" response to this review with promise to look into it- Great! However, I didn't provide my info on this review so I wonder how will she look into it without asking me for any info? Now people can see how deceitful this company is...

Update - July 24
I woke up with an email from Bluehost with the header - Order Cancellation! ""We want to let you know that we were unable to successfully complete your order with the credit card information provided. We apologize for the inconvenience. A refund and cancellation was processed. WHAT?! They took the money from my bank, then say they were unable to process it, then they are issuing a refund?? Why a refund if you ""couldn't"" take my money? I called support and they told me my account is LOCKED but they don't know why!! The WORST part is that all 5 of my domain names critical to my business is now gone and I cannot re-register on Godaddy or any other platform!! Big lawsuit coming!!","July 21, 2024",US
"About 4 months ago I switched from greengeeks to bluehost for my web hosting. Yes I saved almost 40% but I now profoundly regret it. I made a mistake and it resulted in me not having access to my email used to verify my login. I have my primary email, I have phone registered with them, I have my username and password. I have the one time security code necessary to recover the account. But because no one at bluehost cares I can't access my account. 4 chat sessions of about 15 minutes each, a phone call, uploads of id cards, utility bills, checking statements , and over FIVE DAYS and these a**holes still wont let me login. The last chat and email both assured me this process that is supposed to take 24-48 hours would be completed within a couple of hours ( 118 hours so far) and what comes in my email A REQUEST THAT I START THE ENTIRE REQUEST PROCESS OVER! Apparently there is a lot of people with 0 authority handeling contacts and no one with authority dealing with customers. One of my email accounts is full and bouncing customers but these people will not help. The lack of professionalism is astounding. Yes there prices are less than competitors but there is s reason. I've had a website for over 20 years, I've had the host company bought and movec overseas, ...have used at least 7 companies. The service here is tha worst. I feel no concern for my issues.They don't want to help they want the easiest way to make me go away. Even though I am paid up for +2 3/4 years ahead thatt I know they won't refund, I'm thinking seriously about changing. Save yourself and your business frustration. Go elsewhere.","July 02, 2024",TW
"They managed to charge my expired Credit Card without my knowledge and automatically renewed my website for another 3 years. They originally deduced $700 from my account and after reaching to them for refund, they refunded me $678. They are telling me bank charged the fee and this or that. I'd run far from their service and won't be renewing with them at all. This is such a scam.","July 12, 2024",US
"Absolutely awful service so far. I switched from SiteGround because BlueHost had some really cheap offers, and I've only had an account for a couple days, and after 1 day, the website is not accessible! I can't login to the wordpress admin! I had to contact the chat support, and they seemed to have no idea what they were doing. Took forever to connect, then were very slow. More frustrating, the first support agent said it was some server problem - but wasn't specific about what was wrong - and that it was nothing to worry about, it would be fixed in a couple hours. Then 4 hours later, it still wasn't fixed! This is a HUGE problem for anyone hosting a website, you can't be down for hours at a time, absolutely ridiculous! Why am I even paying you???

On top of that, the 2nd customer service agent finally told me that my IP address was wrong. Okay, how did it get messed up? Why was it fine the first day and not the second day? What happened?!

Then, she told me it could take 0 to 8 hours to update. Fine, technology can take time...but this is really awful way to start a new webhosting service. Especially after already waiting 4 hours...if it happens again, I will be demanding a refund.

Update: After more than 24 hours, the website is still down! The ""support"" actually seem to have no idea what they're doing. I'm assuming they were the cheapest ""support"" team they could find in India. Cutting costs as much as possible? Maybe, the horrid support makes it seem like that's the case!","July 18, 2024",NZ
"I have a list of everything that went wrong in the last 3 weeks because Bluehost is just terrible at everything:
1. Customer service: the worst I have ever experienced. They take ages to respond and even close the chats without consideration, with the issue being unsolved.
2. Every agent gives you different information. I think there have been no less than 20 interactions over the last 3 weeks coz we were desperately looking for help and trying to solve the issue just to face different ""solutions"" given by the agents, which none seemed to work.
3. Cyberattacks: They, until now, haven't done anything regarding cybersecurity (other than of course buying an expensive site lock tool which we were pretty much forced to do as we did not have another alternative) which makes your website exposed and vulnerable to any cyberattack like we had been for a month.
4. Bought sitelock from Bluehost, when purchasing it I followed an agent's instructions together with a link they sent (my website was an add-on, not the main one) and I made sure I chose the correct website and guess what? My purchase went to the wrong website!!!! When I went back to asked what happened and that I needed the tool on my site as it was down already coz of malware, a very unskilled agent said that wasn't possible and that ""I made the mistake"". How was my mistake when I had someone from your team guiding and I did choose my website! Then the agent disrespectfully just closed the chat without any solution. I was shocked by their lack of professionalism. Even when I asked, to simply transferred the tool to my site, the agent again said no is not possible. Later on, on a different chat, we were asked if ""we would like the sitelock to be transferred"" (what the heck? didn't the other agent just said it wasn't possible?).
5. I went back 2 or 3 times about the same issue coz every time it seemed like the ""previous agent"" didn't do what was supposed to do. It was a matter of luck until one skilled agent would be helpful (again, that would take no least than 3 attempts). Why don't you train the agents properly? Their lack of knowledge it's outrageous (at times even I had to tell them what to do from their end coz they simply didn't know what to do)
6. It's nuts, I've had sooooooo many issues with Bluehost coz their lack of empathy, lack of ethics, lack of knowledge from your agent and moreover the lack of consideration for their customers who trust something so important for our business.

It's just really tiring to deal with you guys, I have never encountered a worse company than yours (among all companies, regardless of the type).

And guess what? there is no way you can complain about any of these things.

PS: I didn't list everything, maybe not even half of the issues I experienced in only two weeks with them ...","July 19, 2024",PE
I am seeking verification that a site is being hosted and registered by Fast Domain or Blue Host. The chat could not say if this was true or not. I am not asking for critical/sensitive information just confirmation.,"July 19, 2024",US
"I’ve had a deeply frustrating experience with BlueHost.

Their support team is unresponsive and cuts off chats prematurely, often logging off before verifying if the issue is resolved.

My website was down all day, and despite numerous attempts to get help, I was met with poor chat support and no direct call line – only an automation system that does not address urgent issues. This level of service feels like a scam.

I vehemently do not recommend BlueHost for anyone looking for reliable web hosting support. You will be stolen from and given little help.","July 18, 2024",CA
"Worst Hosting Service
Had more than 15 domain with their Business hosting plan, for over 4 years.
Worst hosting service, expensive but slow servers with so many issues regularly. Not so great customer support who disconnect the chat while you have active issues, but they take their own time to respond. Would face issues regularly, where their servers go down or I won't be able to access my hosting dashboard or the servers would be so slow. Got fed up after a point and moved to better hosting service with better server speed and priority support for lesser price that what I paid Bluehost. So worth it.","July 01, 2024",IN
"Bluehost started off good (ish) when we first began using them in 2019, but have gotten progressively much, much worse since then. Awful outsourced customer service, terrible technical services, crappy load times. Just because they're popular, does not mean they're good. Switched to Knownhost and am much happier with the service, technical support and price.","July 18, 2024",CA
"Downhill since takeover by EIG

I used to genuinely happy with bluehost. That changed a couple of years ago. Prices went up, features that were included suddenly cost extra and the tech support went from wonderful to awful. Instead of having a competent person on the phone or chat after a reasonable amount of wait time, you are now chatting to a pretty dumb AI that connects you to a pretty much incompetent person after only a lot of trying.

Awful. Turns out that bluehost was taken over by the Endurance International Group and that seems to be the trigger for those negative developments. Sad.","July 18, 2024",US
"I've been trying to terminate my account.
I had told the bluehost chat team to fully terminate my account on two occasions and was told I will get a confirmation email.
Not only did they ignore my request they only deleted my card details and did not care to actually deactivate my account.
You can even check my chat history.
This is illegal to have my information on a platform I no longer want to be with.
My bank has send me a fraudulent from this bluehost and was told to log all interaction and report and delete the account.
I want all my details and a confirmation that my account will be deleted my account.
If any more info you need for me to confirm I will gladly assist but I will specify that I want my account and all information on me to be terminated deleted ! .","July 15, 2024",IE
"This is scam, they have the worst customer service, they will be wasting your time, when you ask for refund because they don't want to do it and they have a horrible customer service and policy. Mamatha their customer service agent was horrible, very disrespectful.","July 17, 2024",US
"I am writing to bring to your immediate attention a serious issue regarding a suspicious payment that was charged to my account on 17th July 2024. The payment amount of USD 169.78 was processed through PayPal as an automated payment. I have contacted your support team, but they were unable to provide any detailed information about this transaction. Upon reviewing my account, I found no products nearing renewal, and I did not authorize any automatic payments for my products. Furthermore, I did not receive any payment acknowledgement or invoice for this transaction, which raises my concern about the legitimacy of this charge.

Additionally, I find it very concerning and frustrating that there appears to be no escalation option available beyond the initial level of support. Most of the time, the initial level of support tends to either close the chat from their end or provide false information, making it difficult to address such serious issues effectively and promptly.","July 17, 2024",IN
"Just don't do it! 1st year pricing is great, but after that, its aweful.

I purposely kept everything off AUTORENEW - yet somehow a product (we didn't want) autorenewed. I got a blip on my card at midnight of the charge, and called them first thin gin the morning. Their non-US based called center said ""sorry, all renewals are 100% nonrefundable, even if our website f'd up"". Onlin chat, no help. FB chat, no help. So I did a charge back. Capital One was very helpful, however BlueHost responded with their aweful horrible legalese they are not liable and lost the charge back.

BlueHost then suspended my account. I can't do anything with it.

""Customer Service"" is a joke. its merely people responding to comments/questions. They don't help you! They just try to sell you more things. There is NEVER, EVER a billing resolution with Blue Host, aka HostMonster.

No renewals. No transfers. NADA. I can't even get a corporate address to fly to their corporate office in Jacksonville, Florida to speak to a HUMAN IN PERSON. I'm half tempted, just because this company has me SSSOOO frustrated, to fly to Jacksonville, rent a car, go thru all of the corporate databases to find an address, and give the CEO a piece of my mind. I'm just waiting for them to tell me there's a fee to transfer all of my domains off of their crappy system.

HORRIBLE HORRIBLE HORRIBLE COMPANY!","May 01, 2024",US
